CAP;Zona
13818;EU
13821;EU
13823;EU
13824;EU
13831;EU
13833;EU
13835;EU
13836;EU
13841;EU
13843;EU
13844;EU
13845;EU
13847;EU
13848;EU
13851;EU
13853;EU
13854;EU
13855;EU
13856;EU
13861;EU
13862;EU
13863;EU
13864;EU
13865;EU
13866;EU
13867;EU
13868;EU
13871;EU
13872;EU
13873;EU
13874;EU
13875;EU
13876;EU
13877;EU
13878;EU
13881;EU
13882;EU
13883;EU
13884;EU
13885;EU
13886;EU
13887;EU
13888;EU
13891;EU
13893;EU
13894;EU
13895;EU
13896;EU
13897;EU
13898;EU
13899;EU
13900;CP
14010;EU
14011;EU
14012;EU
14013;EU
14014;EU
14015;EU
14016;EU
14017;EU
14018;EU
14019;EU
14020;EU
14021;EU
14022;EU
14023;EU
14024;EU
14025;EU
14026;EU
14030;EU
14031;EU
14032;EU
14033;EU
14034;EU
14035;EU
14036;EU
14037;EU
14039;EU
14040;EU
14041;EU
14042;EU
14043;EU
14044;EU
14045;EU
14046;EU
14047;EU
14048;EU
14049;EU
14050;EU
14051;EU
14052;EU
14053;EU
14054;EU
14055;EU
14057;EU
14058;EU
14059;EU
14100;CP
15010;EU
15011;EU
15012;EU
15013;EU
15015;EU
15016;EU
15017;EU
15018;EU
15019;EU
15020;EU
15021;EU
15022;EU
15023;EU
15024;EU
15025;EU
15026;EU
15027;EU
15028;EU
15029;EU
15030;EU
15031;EU
15032;EU
15033;EU
15034;EU
15035;EU
15036;EU
15037;EU
15038;EU
15039;EU
15040;EU
15041;EU
15042;EU
15043;EU
15044;EU
15045;EU
15046;EU
15047;EU
15048;EU
15049;EU
15050;EU
15051;EU
15052;EU
15053;EU
15054;EU
15055;EU
15056;EU
15057;EU
15058;EU
15059;EU
15060;EU
15061;EU
15062;EU
15063;EU
15064;EU
15065;EU
15066;EU
15067;EU
15068;EU
15069;EU
15070;EU
15071;EU
15072;EU
15073;EU
15074;EU
15075;EU
15076;EU
15077;EU
15078;EU
15079;EU
15121;CP
15122;CP
16010;EU
16011;EU
16012;EU
16013;EU
16014;EU
16015;EU
16016;EU
16017;EU
16018;EU
16019;EU
16020;EU
16021;EU
16022;EU
16023;EU
16024;EU
16025;EU
16026;EU
16027;EU
16028;EU
16029;EU
16030;EU
16031;EU
16032;EU
16033;EU
16034;EU
16035;EU
16036;EU
16038;EU
16039;EU
16040;EU
16041;EU
16042;EU
16043;EU
16044;EU
16045;EU
16046;EU
16047;EU
16048;EU
16049;EU
16121;AM
16122;AM
16123;AM
16124;AM
16125;AM
16126;AM
16127;AM
16128;AM
16129;AM
16131;AM
16132;AM
16133;AM
16134;AM
16135;AM
16136;AM
16137;AM
16138;AM
16139;AM
16141;AM
16142;AM
16143;AM
16144;AM
16145;AM
16146;AM
16147;AM
16148;AM
16149;AM
16151;AM
16152;AM
16153;AM
16154;AM
16155;AM
16156;AM
16157;AM
16158;AM
16159;AM
16161;AM
16162;AM
16163;AM
16164;AM
16165;AM
16166;AM
16167;AM
17010;EU
17011;EU
17012;EU
17013;EU
17014;EU
17015;EU
17017;EU
17019;EU
17020;EU
17021;EU
17022;EU
17023;EU
17024;EU
17025;EU
17026;EU
17027;EU
17028;EU
17030;EU
17031;EU
17032;EU
17033;EU
17034;EU
17035;EU
17037;EU
17038;EU
17039;EU
17040;EU
17041;EU
17042;EU
17043;EU
17044;EU
17045;EU
17046;EU
17047;EU
17048;EU
17051;EU
17052;EU
17053;EU
17054;EU
17055;EU
17056;EU
17057;EU
17058;EU
17100;CP
18010;EU
18011;EU
18012;EU
18013;EU
18014;EU
18015;EU
18016;EU
18017;EU
18018;EU
18019;EU
18020;EU
18021;EU
18022;EU
18023;EU
18024;EU
18025;EU
18026;EU
18027;EU
18028;EU
18030;EU
18031;EU
18032;EU
18033;EU
18034;EU
18035;EU
18036;EU
18037;EU
18038;EU
18039;EU
18100;CP
19010;EU
19011;EU
19012;EU
19013;EU
19014;EU
19015;EU
19016;EU
19017;EU
19018;EU
19020;EU
19021;EU
19025;EU
19028;EU
19031;EU
19032;EU
19033;EU
19034;EU
19037;EU
19038;EU
19121;CP
19122;CP
19123;CP
19124;CP
19125;CP
19126;CP
19131;CP
19132;CP
19133;CP
19134;CP
19135;CP
19136;CP
19137;CP
20001;EU
20002;EU
20003;EU
20004;EU
20005;EU
20006;EU
20007;EU
20008;EU
20009;EU
20010;EU
20011;EU
20012;EU
20013;EU
20014;EU
20015;EU
20016;EU
20017;EU
20018;EU
20019;EU
20020;EU
20021;EU
20022;EU
20023;EU
20024;EU
20025;EU
20026;EU
20027;EU
20028;EU
20029;EU
20030;EU
20031;EU
20032;EU
20033;EU
20034;EU
20035;EU
20036;EU
20037;EU
20038;EU
20039;EU
20040;EU
20041;EU
20042;EU
20043;EU
20044;EU
20045;EU
20046;EU
20047;EU
20048;EU
20049;EU
20050;EU
20051;EU
20052;EU
20053;EU
20054;EU
20055;EU
20056;EU
20057;EU
20058;EU
20059;EU
20060;EU
20061;EU
20062;EU
20063;EU
20064;EU
20065;EU
20066;EU
20067;EU
20068;EU
20069;EU
20070;EU
20071;EU
20072;EU
20073;EU
20074;EU
20075;EU
20076;EU
20077;EU
20078;EU
20079;EU
20080;EU
20081;EU
20082;EU
20083;EU
20084;EU
20085;EU
20086;EU
20087;EU
20088;EU
20089;EU
20090;EU
20091;EU
20092;EU
20093;EU
20094;EU
20095;EU
20096;EU
20097;EU
20098;EU
20099;EU
20121;AM
20122;AM
20123;AM
20124;AM
20125;AM
20126;AM
20127;AM
20128;AM
20129;AM
20131;AM
20132;AM
20133;AM
20134;AM
20135;AM
20136;AM
20137;AM
20138;AM
20139;AM
20141;AM
20142;AM
20143;AM
20144;AM
20145;AM
20146;AM
20147;AM
20148;AM
20149;AM
20151;AM
20152;AM
20153;AM
20154;AM
20155;AM
20156;AM
20157;AM
20158;AM
20159;AM
20161;AM
20162;AM
20811;EU
20812;EU
20813;EU
20814;EU
20815;EU
20816;EU
20821;EU
20822;EU
20823;EU
20824;EU
20825;EU
20826;EU
20831;EU
20832;EU
20833;EU
20834;EU
20835;EU
20836;EU
20837;EU
20838;EU
20841;EU
20842;EU
20843;EU
20844;EU
20845;EU
20846;EU
20847;EU
20851;EU
20852;EU
20853;EU
20854;EU
20855;EU
20856;EU
20857;EU
20861;EU
20862;EU
20863;EU
20864;EU
20865;EU
20866;EU
20867;EU
20871;EU
20872;EU
20873;EU
20874;EU
20875;EU
20876;EU
20877;EU
20881;EU
20882;EU
20883;EU
20884;EU
20885;EU
20886;EU
20900;CP
21010;EU
21011;EU
21012;EU
21013;EU
21014;EU
21015;EU
21016;EU
21017;EU
21018;EU
21019;EU
21020;EU
21021;EU
21022;EU
21023;EU
21024;EU
21025;EU
21026;EU
21027;EU
21028;EU
21029;EU
21030;EU
21031;EU
21032;EU
21033;EU
21034;EU
21035;EU
21036;EU
21037;EU
21038;EU
21039;EU
21040;EU
21041;EU
21042;EU
21043;EU
21044;EU
21045;EU
21046;EU
21047;EU
21048;EU
21049;EU
21050;EU
21051;EU
21052;EU
21053;EU
21054;EU
21055;EU
21056;EU
21057;EU
21058;EU
21059;EU
21061;EU
21062;EU
21100;CP
22010;EU
22011;EU
22012;EU
22013;EU
22014;EU
22015;EU
22016;EU
22017;EU
22018;EU
22019;EU
22020;EU
22021;EU
22023;EU
22024;EU
22025;EU
22026;EU
22027;EU
22028;EU
22029;EU
22030;EU
22031;EU
22032;EU
22033;EU
22034;EU
22035;EU
22036;EU
22037;EU
22038;EU
22039;EU
22040;EU
22041;EU
22042;EU
22043;EU
22044;EU
22045;EU
22046;EU
22060;EU
22061;EU
22063;EU
22066;EU
22069;EU
22070;EU
22071;EU
22072;EU
22073;EU
22074;EU
22075;EU
22076;EU
22077;EU
22078;EU
22079;EU
22100;CP
23009;EU
23010;EU
23011;EU
23012;EU
23013;EU
23014;EU
23015;EU
23016;EU
23017;EU
23018;EU
23019;EU
23020;EU
23021;EU
23022;EU
23023;EU
23024;EU
23025;EU
23026;EU
23027;EU
23029;EU
23030;EU
23031;EU
23032;EU
23033;EU
23034;EU
23035;EU
23036;EU
23037;EU
23038;EU
23041;EU
23100;CP
23801;EU
23802;EU
23804;EU
23805;EU
23807;EU
23808;EU
23811;EU
23813;EU
23814;EU
23815;EU
23816;EU
23817;EU
23818;EU
23819;EU
23821;EU
23822;EU
23823;EU
23824;EU
23825;EU
23826;EU
23827;EU
23828;EU
23829;EU
23831;EU
23832;EU
23833;EU
23834;EU
23835;EU
23836;EU
23837;EU
23841;EU
23842;EU
23843;EU
23844;EU
23845;EU
23846;EU
23847;EU
23848;EU
23849;EU
23851;EU
23852;EU
23854;EU
23855;EU
23857;EU
23861;EU
23862;EU
23864;EU
23865;EU
23867;EU
23868;EU
23870;EU
23871;EU
23873;EU
23874;EU
23875;EU
23876;EU
23877;EU
23878;EU
23879;EU
23880;EU
23881;EU
23883;EU
23884;EU
23885;EU
23886;EU
23887;EU
23888;EU
23889;EU
23890;EU
23891;EU
23892;EU
23893;EU
23894;EU
23895;EU
23896;EU
23897;EU
23898;EU
23899;EU
23900;CP
24010;EU
24011;EU
24012;EU
24013;EU
24014;EU
24015;EU
24016;EU
24017;EU
24018;EU
24019;EU
24020;EU
24021;EU
24022;EU
24023;EU
24024;EU
24025;EU
24026;EU
24027;EU
24028;EU
24029;EU
24030;EU
24031;EU
24032;EU
24033;EU
24034;EU
24035;EU
24036;EU
24037;EU
24038;EU
24039;EU
24040;EU
24041;EU
24042;EU
24043;EU
24044;EU
24045;EU
24046;EU
24047;EU
24048;EU
24049;EU
24050;EU
24051;EU
24052;EU
24053;EU
24054;EU
24055;EU
24056;EU
24057;EU
24058;EU
24059;EU
24060;EU
24061;EU
24062;EU
24063;EU
24064;EU
24065;EU
24066;EU
24067;EU
24068;EU
24069;EU
24121;CP
24122;CP
24123;CP
24124;CP
24125;CP
24126;CP
24127;CP
24128;CP
24129;CP
25010;EU
25011;EU
25012;EU
25013;EU
25014;EU
25015;EU
25016;EU
25017;EU
25018;EU
25019;EU
25020;EU
25021;EU
25022;EU
25023;EU
25024;EU
25025;EU
25026;EU
25027;EU
25028;EU
25029;EU
25030;EU
25031;EU
25032;EU
25033;EU
25034;EU
25035;EU
25036;EU
25037;EU
25038;EU
25039;EU
25040;EU
25042;EU
25043;EU
25044;EU
25045;EU
25046;EU
25047;EU
25048;EU
25049;EU
25050;EU
25051;EU
25052;EU
25053;EU
25054;EU
25055;EU
25056;EU
25057;EU
25058;EU
25059;EU
25060;EU
25061;EU
25062;EU
25063;EU
25064;EU
25065;EU
25068;EU
25069;EU
25070;EU
25071;EU
25072;EU
25073;EU
25074;EU
25075;EU
25076;EU
25077;EU
25078;EU
25079;EU
25080;EU
25081;EU
25082;EU
25083;EU
25084;EU
25085;EU
25086;EU
25087;EU
25088;EU
25089;EU
25121;CP
25122;CP
25123;CP
25124;CP
25125;CP
25126;CP
25127;CP
25128;CP
25129;CP
25131;CP
25132;CP
25133;CP
25134;CP
25135;CP
25136;CP
26010;EU
26011;EU
26012;EU
26013;EU
26014;EU
26015;EU
26016;EU
26017;EU
26018;EU
26019;EU
26020;EU
26021;EU
26022;EU
26023;EU
26024;EU
26025;EU
26026;EU
26027;EU
26028;EU
26029;EU
26030;EU
26031;EU
26032;EU
26033;EU
26034;EU
26035;EU
26036;EU
26037;EU
26038;EU
26039;EU
26040;EU
26041;EU
26042;EU
26043;EU
26044;EU
26045;EU
26046;EU
26047;EU
26048;EU
26049;EU
26100;CP
26811;EU
26812;EU
26813;EU
26814;EU
26815;EU
26816;EU
26817;EU
26818;EU
26821;EU
26822;EU
26823;EU
26824;EU
26825;EU
26826;EU
26827;EU
26828;EU
26831;EU
26832;EU
